timestamp,station_id,user_id,tariff,energy_kwh,duration_min,avg_power_kw,input_name,input_plate,registered_name,registered_plate,reason,label
2025-11-11 21:00:30,ST-012,U-390,GECE,1.0,4,15.0,Berat Kılıç,06BRT390,Berat Kılıç,06BRT390,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-11 21:35:00,ST-013,U-400,GECE,35.0,90,23.3,Ece Yıldız,34ECE400,Ece Yıldız,34ECE400,normal,0
2025-11-11 22:10:00,ST-013,U-400,GECE,40.0,5,480.0,Ece Yıldız,34ECE400,Ece Yıldız,34ECE400,MANTIKSIZ_GUÇ_DEGERI,1
2025-11-11 22:30:00,ST-014,U-410,GECE,12.0,45,16.0,Bora Uçar,35BRA410,Bora Uçar,35BRA410,normal,0
2025-11-11 22:31:30,ST-014,U-410,GECE,2.0,2,60.0,Bora Uçar,35BRA411,Bora Uçar,35BRA410,YANLIS_PLAKA,1
2025-11-11 22:33:00,ST-014,U-410,GECE,1.0,1,60.0,Bora Uçar,35BRA410,Bora Uçar,35BRA410,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-11 23:05:00,ST-015,U-420,GECE,15.0,50,18.0,Deniz Acar,34DNZ420,Deniz Acar,34DNZ420,normal,0
2025-11-11 23:40:00,ST-015,U-420,GECE,0.2,90,0.1,Deniz Acar,34DNZ420,Deniz Acar,34DNZ420,MANTIKSIZ_GUÇ_DEGERI,1
2025-11-12 00:10:00,ST-016,U-430,GECE,10.0,30,20.0,Selma Koç,06SLM430,Selma Koç,06SLM430,normal,0
2025-11-12 00:11:30,ST-016,U-430,GECE,3.0,4,45.0,Selma Koc,06SLM431,Selma Koç,06SLM430,YANLIS_ISIM_VE_PLAKA,1
2025-11-12 00:13:00,ST-016,U-430,GECE,1.0,2,30.0,Selma Koç,06SLM430,Selma Koç,06SLM430,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-12 01:00:00,ST-017,U-440,GECE,18.0,60,18.0,Osman Yıldırım,34OSM440,Osman Yıldırım,34OSM440,normal,0
2025-11-12 01:35:00,ST-017,U-440,GECE,22.0,10,132.0,Osman Yldrm,34OSM440,Osman Yıldırım,34OSM440,MANTIKSIZ_GUÇ_DEGERI,1
2025-11-12 02:05:00,ST-018,U-450,GECE,20.0,70,17.1,Funda Er,35FND450,Funda Er,35FND450,normal,0
2025-11-12 02:40:00,ST-018,U-450,GECE,21.0,25,50.4,Funda Er,35FND451,Funda Er,35FND450,YANLIS_PLAKA,1
2025-11-12 02:41:30,ST-018,U-450,GECE,2.0,2,60.0,Funda Er,35FND450,Funda Er,35FND450,KISA_ARALIKLA_TEKRAR_PLAKA,1
2025-11-12 03:10:00,ST-019,U-460,GECE,14.0,40,21.0,İsmail Can,06ISM460,İsmail Can,06ISM460,normal,0
2025-11-12 03:45:00,ST-019,U-460,GECE,0.0,20,0.0,İsmail Can,06ISM460,İsmail Can,06ISM460,MANTIKSIZ_GUÇ_DEGERI,1
